antwortid;LegalForm;GroupMember;ForeignCompany;Income;AllIndustry;TaxAudit5Y;TaxAudit10Y;ForeignTaxAudit;A1_1_01;A1_1_02;A1_1_03;A1_1_04;A1_1_05;A1_1_06;A2_1_01;A2_1_02;A2_1_03;A2_1_04;A2_2_01;A2_2_02;A2_3_01;A2_3_02;A2_3_03;A3_1_01;A3_1_02;A3_1_03;A3_1_04;A4_1_01;A4_1_02;A4_1_03;A4_1_04;A4_1_05;A4_1_06;A4_2_01;A4_2_02;A4_2_03;A4_2_04;A4_2_05;A4_2_06;A4_2_07;A4_2_08;A4_2_09;A4_2_10;A4_2_11;A5_1_01;A5_1_02;A5_1_03;A5_1_04;A5_2_01;A5_2_02;A5_3_01;A5_3_02;A5_3_03;A5_3_04;A5_3_05;A5_3_06;A5_3_07;A5_3_08
177;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;chem_industry ;10;5;Nein;10;10;10;6;Keine Antwort;10;10;10;10;10;10;1;1;1;1;4;8;Keine Antwort;Keine Antwort;5;3;3;2;2;2;3;2;2;3;Keine Antwort;1;3;3;Keine Antwort;Keine Antwort;2;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;5;6;Keine Antwort;Keine Antwort;2;2;Keine Antwort;1;1;1
180;Kapitalgesellschaft;Teilkonzernmutter;Ja;> 750 Mio. EUR;chem_industry ;10;10;Nein;8;10;10;3;8;Keine Antwort;1;10;10;10;10;1;10;1;5;5;1;Keine Antwort;1;8;8;3;5;3;5;5;8;8;8;8;1;1;5;1;1;1;9;9;9;9;10;10;10;8;10;8;10;9;10;10
181;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;chem_industry ;6;10;Nein;8;10;9;3;6;8;8;7;7;8;8;4;3;3;3;7;5;8;4;8;6;7;4;5;5;7;4;3;3;3;3;6;7;7;6;6;9;9;9;8;9;9;8;7;8;9;10;10;10;10
182;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;chem_industry ;5;5;Nein;9;10;10;2;7;7;5;5;5;5;8;5;7;5;5;10;8;8;7;7;7;7;5;5;5;7;9;4;4;Keine Antwort;5;5;6;Keine Antwort;Keine Antwort;Keine Antwort;7;8;8;8;5;8;4;Keine Antwort;8;7;8;8;8;8
187;Kapitalgesellschaft;Teilkonzernmutter;Ja;> 750 Mio. EUR;chem_industry ;10;1;Nein;10;10;10;3;8;Keine Antwort;1;10;10;10;10;5;10;1;5;5;1;1;Keine Antwort;8;8;3;3;3;5;5;8;5;8;Keine Antwort;3;3;5;3;3;3;8;10;3;10;10;10;8;6;8;7;10;8;7;10
189;Kapitalgesellschaft;Abhängiges Konzernunternehmen/Betriebsstätte;Ja;> 750 Mio. EUR;phar_industry ;10;10;Nein;10;9;9;9;8;8;Keine Antwort;Keine Antwort;Keine Antwort;Keine Antwort;10;Keine Antwort;4;9;Keine Antwort;10;10;Keine Antwort;2;3;3;3;2;3;7;10;1;10;9;Keine Antwort;Keine Antwort;2;2;Keine Antwort;Keine Antwort;Keine Antwort;9;9;9;9;2;2;5;5;5;9;9;9;2;9
190;Kapitalgesellschaft;Abhängiges Konzernunternehmen/Betriebsstätte;Ja;> 750 Mio. EUR;phar_industry ;10;10;Nein;10;10;10;3;7;10;2;2;2;2;9;3;3;2;2;6;10;5;1;3;2;2;1;1;3;2;9;7;10;6;7;2;3;9;8;8;4;4;9;8;10;10;3;3;6;6;4;4;4;5
191;Mischgesellschaft;Teilkonzernmutter;Ja;> 750 Mio. EUR;gesu_industry phar_industry ;10;10;Keine Antwort;10;10;10;3;Keine Antwort;10;10;10;10;10;10;2;Keine Antwort;Keine Antwort;Keine Antwort;5;10;Keine Antwort;2;10;9;2;3;Keine Antwort;10;10;Keine Antwort;4;8;Keine Antwort;1;3;3;Keine Antwort;10;10;5;5;5;5;10;10;2;2;2;2;10;7;9;9
192;Personengesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;phar_industry ;10;10;Nein;10;10;10;7;Keine Antwort;Keine Antwort;5;10;10;10;10;5;Keine Antwort;Keine Antwort;Keine Antwort;7;10;10;5;8;6;2;4;4;3;3;8;8;10;Keine Antwort;1;4;4;Keine Antwort;6;6;2;3;3;3;1;1;1;5;8;5;10;8;10;10
195;Kapitalgesellschaft;Abhängiges Konzernunternehmen/Betriebsstätte;Ja;> 750 Mio. EUR;finanzVers_industry ;10;8;Nein;10;10;10;2;8;10;9;10;8;10;8;5;5;7;8;Keine Antwort;7;Keine Antwort;5;10;5;6;7;7;8;9;9;5;6;Keine Antwort;6;6;7;Keine Antwort;4;8;7;5;8;4;Keine Antwort;7;3;7;6;6;5;7;8;8
196;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;chem_industry verk_industry ;10;10;Keine Antwort;10;10;10;5;Keine Antwort;1;10;10;10;10;10;7;5;5;1;4;5;Keine Antwort;2;9;9;5;6;6;Keine Antwort;7;9;2;3;3;3;2;4;Keine Antwort;Keine Antwort;Keine Antwort;8;8;3;8;9;9;5;7;7;9;9;9;10;10
202;Kapitalgesellschaft;Konzernmutter;Ja;bis zu 250 Mio. EUR;sons_industry ;5;5;Nein;1;5;4;8;3;5;5;5;5;5;3;3;2;2;2;8;1;5;7;7;7;6;8;8;5;8;8;1;1;1;1;9;10;Keine Antwort;Keine Antwort;Keine Antwort;8;8;8;8;Keine Antwort;10;8;9;10;10;10;10;10;10
211;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;chem_industry ;10;10;Nein;10;10;10;3;10;10;2;3;3;3;10;3;1;3;3;4;10;8;2;9;9;7;9;8;8;9;10;2;2;2;5;8;8;Keine Antwort;Keine Antwort;Keine Antwort;9;9;9;9;6;6;6;7;7;5;8;4;7;7
216;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;chem_industry ;10;10;Nein;10;10;10;9;5;2;1;1;1;1;9;1;2;6;1;Keine Antwort;5;8;Keine Antwort;2;1;2;2;2;3;3;2;6;9;Keine Antwort;6;6;7;Keine Antwort;Keine Antwort;5;9;5;3;7;6;3;2;6;6;2;7;5;2;6
217;Kapitalgesellschaft;Konzernmutter;Ja;> 750 Mio. EUR;chem_industry ;10;10;Nein;10;10;10;10;10;1;5;10;8;9;10;5;7;5;5;1;7;10;8;10;10;8;9;9;10;10;9;4;1;5;10;9;7;10;6;6;8;8;1;Keine Antwort;8;10;9;Keine Antwort;9;3;9;3;Keine Antwort;9
